CategoryId,CategoryName,PackageName,Price,Sessions,Description
kosmetika,KOSMETIKA,Základní ošetření pro suchou pleť (60 minut),1 150Kč,1,"Kompletní kosmetické ošetření zahrnující čištění pleti, tonizaci, exfoliaci, relaxaci a vyživení. Speciálně navrženo pro suchou pleť. Masáž rukou"
kosmetika,KOSMETIKA,Ošetření s collagenem anti Age (60 minut),1 350Kč,1,"Kompletní kosmetické ošetření pro zralou pleť - čištění pleti, tonizace, exfoliace, relaxace, vyživení, maska, ochrana, masáž obličeje, masáž rukou)"
kosmetika,KOSMETIKA,Ošetření pleti s rozšířenými póry/ problematická pleť(60 minut),1 350Kč,1,"Kompletní kosmetické ošetření pro problematickou pleť - čištění pleti, tonizace, exfoliace, relaxace, vyživení, maska, ochrana, masáž obličeje, masáž rukou)"
kosmetika,KOSMETIKA,"Sensitive skin facial with propolis pro pleť která je velmi problematická, nebo má jiná omezení(70 minut)",1 490Kč,1,"Kompletní kosmetické ošetření pro problematickou pleť - čištění pleti, tonizace, exfoliace, relaxace, vyživení, maska, ochrana, masáž obličeje, masáž rukou) + sérum  s akcentem na čištění a zklidnění pleti. Ideální pro klienty s akné nebo záněty, nebo pleť která je spálená."
kosmetika,KOSMETIKA,Premium ošetření s kyselinou Hyaluronovou velmi silná koncentrace - kombinují různé molekulové hmotnosti HA (90 minut) ,1 700Kč,1,"Prémiové kosmetické ošetření s prodlouženou dobou relaxace a extra vyživením pleti. Nejvyšší stupeň pečující kosmetiky. Silně hydratuje, vyživuje."
kosmetika,KOSMETIKA,Mikrojehličkování - Dermapen,1 800Kč,1,"Pokročilé ošetření pomocí mikrojehličkování, neboli dermapen. Efektivně řeší pigmentové skvrny, jizvy po akné a stimuluje produkci kolagenu. Skvělý refresh pro pokožku "
kosmetika,KOSMETIKA,Barení obočí/ barvení řas ,200Kč,1,"Klasické barvení a úprava řas, obočí"
kosmetika,KOSMETIKA,Depilace obličeje v kombinaci s klasickou komsetikou,150Kč,1,"Zahrnuje depilaci obličeje, nutno přiobjednat i kosmetické ošetření"
kosmetika,KOSMETIKA,"Lash lifting / laminace řas, natočení řas cena bez kosmetického ošetření",1 000Kč,1,Moderní technika natáčení a fixace řas do požadovaného tvaru lash lifting. Vytváří efekt delších a hustších řas na 4-6 týdnů.
kosmetika,KOSMETIKA,Laminace obočí cena bez kosmetického ošetření,600Kč,1,"Úprava a styling obočí s dlouhodobou fixací chloupků. Vytváří plnější a upraveného vzhled obočí, laminace obočí"
kosmetika,KOSMETIKA,Laminace obočí + barvení cena bez kosmetického ošetření,1 000Kč,1,Kombinované ošetření řas a obočí v jednom sezení. Úspora času a peněz oproti samostatným procedurám.
kosmetika,KOSMETIKA,"Lash lifting / laminace řas, natočení řas cena s kosmetickým ošetřením",800Kč,1,Moderní technika natáčení a fixace řas do požadovaného tvaru lash lifting. Vytváří efekt delších a hustších řas na 4-6 týdnů. Nutno přiobjednat kosmetické ošetření
kosmetika,KOSMETIKA,Laminace obočí cena s kosmetickým ošetřením,500Kč,1,"Úprava a styling obočí s dlouhodobou fixací chloupků. Vytváří plnější a upraveného vzhled obočí, laminace obočí. Nutno přiobjednat kosmetické ošetření"
kosmetika,KOSMETIKA,Laminace obočí + barvení cena s kosmetickým ošetřením,750Kč,1,Kombinované ošetření řas a obočí v jednom sezení. Úspora času a peněz oproti samostatným procedurám. Nutno přiobjednat kosmetické ošetření
kosmetika,KOSMETIKA,Laminace obočí + Lash lifting řas,1 500Kč,1,Kombinované ošetření laminace obočí a lash lifting řas společně s barvením.
kosmetika,KOSMETIKA,"Základní kosmetické ošetření s barvením řas, obočí (75minut)",1 250Kč,1,"Kompletní kosmetické ošetření zahrnující čištění pleti, tonizaci, exfoliaci, relaxaci a vyživení. Speciálně navrženo pro suchou pleť, masáž rukou, barvení obočí a řas"
kosmetika,KOSMETIKA,Dermapen rty,700Kč,1,Hydratace a omlazení rtů pomocí dermapenu. Zlepšuje texturu a plnost rtů.
kosmetika,HYDRAFACIAL,Dermapen rty,700Kč,1,Hydratace a omlazení rtů pomocí dermapenu. Zlepšuje texturu a plnost rtů.
kosmetika,HYDRAFACIAL,"Basic ošetření, klasické ošetření s použitím, hydradermabraze, kyslíková infůze,masáž obličeje a dekolu a rokou (75minut)",1650KČ,1,"Basic ošetření, klasické ošetření s použitím, hydradermabraze, kyslíková infůze,masáž obličeje a dekolu a rokou (75minut)"
kosmetika,HYDRAFACIAL,"Standard ošetření, klasické ošetření s použitím, hydradermabraze, kyslíková infůze, radiofrekvence,masáž obličeje a dekolu a rokou (90minut)",1 900Kč,1,"Standard ošetření, klasické ošetření s použitím, hydradermabraze, kyslíková infůze, radiofrekvence,masáž obličeje a dekolu a rokou (90minut)"
kosmetika,HYDRAFACIAL,"Premium ošetření, klasické ošetření s použitím, hydradermabraze, kyslíková infůze, radiofrekvence,bio lifting sondyled terapie ,masáž obličeje a dekolu a rokou (110minut)",2 350Kč,1,"Premium ošetření, klasické ošetření s použitím, hydradermabraze, kyslíková infůze, radiofrekvence,bio lifting sondyled terapie ,masáž obličeje a dekolu a rokou (110minut)"
budovani-svalu,BUDOVÁNÍ SVALŮ,"Budování svalů 1 partie (30 minut) Břicho, nohy, stehna, zadek, paže, lýtka",900Kč,1,"Základní ošetření jedné tělesné partie. Ideální pro začátečníky nebo cílené posilování konkrétní oblasti. Založeno na systému EMS 30 000 supramaximálních kontrakcí. Vhodné i pro regeneraci svalů po silném svalové záteži. 30 minut na stroji nahrazuje 5,5h v posilovně"
budovani-svalu,BUDOVÁNÍ SVALŮ,"Budování svalů 2 partie (30 minut) Břicho/zadek, stehna/zadek, paže/břicho",1 300Kč,1,"Kombinace dvou partií (břicho + zadek, nohy + zadek, břicho + paže). Komplexnější trénink pro lepší výsledky. Založeno na systému EMS 30 000 supramaximálních kontrakcí. Vhodné i pro regeneraci svalů po silném svalové záteži"
budovani-svalu,BUDOVÁNÍ SVALŮ,Balíček Budování svalů 2 partie (30 minut) 5 ošetření sleva 5%,6 175Kč,1,"Kombinace dvou partií (břicho + zadek, nohy + zadek, břicho + paže). Komplexnější trénink pro lepší výsledky. Založeno na systému EMS 30 000 supramaximálních kontrakcí. Vhodné i pro regeneraci svalů po silném svalové záteži. 30 minut na stroji nahrazuje 5,5h v posilovně"
budovani-svalu,BUDOVÁNÍ SVALŮ,Balíček Budování svalů 2 partie (30 minut) 8 ošetření sleva 10%,9 360Kč,1,"Kombinace dvou partií (břicho + zadek, nohy + zadek, břicho + paže). Komplexnější trénink pro lepší výsledky. Založeno na systému EMS 30 000 supramaximálních kontrakcí. Vhodné i pro regeneraci svalů po silném svalové záteži. 30 minut na stroji nahrazuje 5,5h v posilovně"
